SUBJECT_ID,NUMBER OF AND,NUMBER OF BYTE,Column1,Number of char[],Number of char[inHEx]
157,291545,109329,109329.375,109330,1AB12
158,298640,111990,111990,111990,1B576
159,310120,116295,116295,116295,1C647
160,302527,113447,113447.625,113448,1BB28
161,301711,113141,113141.625,113142,1B9F6
162,300412,112654,112654.5,112655,1B80F
163,303191,113696,113696.625,113697,1BC21
164,304106,114039,114039.75,114040,1BD78
165,309838,116189,116189.25,116190,1C5DE
166,300829,112810,112810.875,112811,1B8AB
167,306945,115104,115104.375,115105,1C1A1
168,304633,114237,114237.375,114238,1BE3E
169,317283,118981,118981.125,118982,1D0C6
170,309883,116206,116206.125,116207,1C5EF
171,310493,116434,116434.875,116435,1C6D3
172,319850,119943,119943.75,119944,1D488
173,301769,113163,113163.375,113164,1BA0C
174,175489,65808,65808.375,65809,10111
175,301639,113114,113114.625,113115,1B9DB
176,302473,113427,113427.375,113428,1BB14
177,299378,112266,112266.75,112267,1B68B
178,309156,115933,115933.5,115934,1C4DE
179,306352,114882,114882,114882,1C0C2
180,306321,114870,114870.375,114871,1C0B7
181,324484,121681,121681.5,121682,1DB52
182,303356,113758,113758.5,113759,1BC5F
183,295312,110742,110742,110742,1B096
184,306436,114913,114913.5,114914,1C0E2
185,295214,110705,110705.25,110706,1B072
186,304383,114143,114143.625,114144,1BDE0
187,307748,115405,115405.5,115406,1C2CE
188,267662,100373,100373.25,100374,18816
189,304634,114237,114237.75,114238,1BE3E
190,327209,122703,122703.375,122704,1DF50
191,252463,94673,94673.625,94674,171D2
192,262082,98280,98280.75,98281,17FE9
193,259764,97411,97411.5,97412,17C84
194,262228,98335,98335.5,98336,18020
195,263411,98779,98779.125,98780,181DC
196,234905,88089,88089.375,88090,1581A
197,253273,94977,94977.375,94978,17302
198,259860,97447,97447.5,97448,17CA8
199,257324,96496,96496.5,96497,178F1
200,265564,99586,99586.5,99587,18503
201,261750,98156,98156.25,98157,17F6D
202,260910,97841,97841.25,97842,17E32
203,261846,98192,98192.25,98193,17F91
204,258463,96923,96923.625,96924,17A9C
205,259934,97475,97475.25,97476,17CC4
206,261486,98057,98057.25,98058,17F0A
207,291089,109158,109158.375,109159,1AA67
208,278196,104323,104323.5,104324,19784
209,249001,93375,93375.375,93376,16CC0
210,262731,98524,98524.125,98525,180DD
211,266133,99799,99799.875,99800,185D8
212,290674,109002,109002.75,109003,1A9CB
213,265387,99520,99520.125,99521,184C1
214,232156,87058,87058.5,87059,15413
215,264646,99242,99242.25,99243,183AB
216,262257,98346,98346.375,98347,1802B
217,260849,97818,97818.375,97819,17E1B
218,240495,90185,90185.625,90186,1604A
219,260713,97767,97767.375,97768,17DE8
220,258778,97041,97041.75,97042,17B12
221,257523,96571,96571.125,96572,1793C
222,259445,97291,97291.875,97292,17C0C
223,258873,97077,97077.375,97078,17B36
224,260968,97863,97863,97863,17E47
225,262173,98314,98314.875,98315,1800B
226,260067,97525,97525.125,97526,17CF6
227,268219,100582,100582.125,100583,188E7
228,270306,101364,101364.75,101365,18BF5
229,259817,97431,97431.375,97432,17C98
230,282567,105962,105962.625,105963,19DEB
231,262395,98398,98398.125,98399,1805F
232,272650,102243,102243.75,102244,18F64
233,267271,100226,100226.625,100227,18783
234,277057,103896,103896.375,103897,195D9
235,261090,97908,97908.75,97909,17E75
236,287859,107947,107947.125,107948,1A5AC
237,268439,100664,100664.625,100665,18939
238,259914,97467,97467.75,97468,17CBC
239,261083,97906,97906.125,97907,17E73
240,263693,98884,98884.875,98885,18245
241,261900,98212,98212.5,98213,17FA5
242,260686,97757,97757.25,97758,17DDE
243,104808,39303,39303,39303,9987
244,286716,107518,107518.5,107519,1A3FF
245,286583,107468,107468.625,107469,1A3CD
246,302040,113265,113265,113265,1BA71
247,277325,103996,103996.875,103997,1963D
248,249587,93595,93595.125,93596,16D9C
249,274307,102865,102865.125,102866,191D2
250,285495,107060,107060.625,107061,1A235
251,269525,101071,101071.875,101072,18AD0
252,273744,102654,102654,102654,190FE
253,286418,107406,107406.75,107407,1A38F
254,281146,105429,105429.75,105430,19BD6
255,282267,105850,105850.125,105851,19D7B
256,285752,107157,107157,107157,1A295
257,287018,107631,107631.75,107632,1A470
258,286784,107544,107544,107544,1A418
259,285978,107241,107241.75,107242,1A2EA
260,297486,111557,111557.25,111558,1B3C6
261,301667,113125,113125.125,113126,1B9E6
262,244164,91561,91561.5,91562,165AA
263,281446,105542,105542.25,105543,19C47
264,281602,105600,105600.75,105601,19C81
265,281893,105709,105709.875,105710,19CEE
266,281869,105700,105700.875,105701,19CE5
267,284398,106649,106649.25,106650,1A09A
268,289887,108707,108707.625,108708,1A8A4
269,265536,99576,99576,99576,184F8
270,297385,111519,111519.375,111520,1B3A0
271,271729,101898,101898.375,101899,18E0B
272,303367,113762,113762.625,113763,1BC63
273,280238,105089,105089.25,105090,19A82
274,341319,127994,127994.625,127995,1F3FB
275,278708,104515,104515.5,104516,19844
276,279965,104986,104986.875,104987,19A1B
277,274585,102969,102969.375,102970,1923A
278,295377,110766,110766.375,110767,1B0AF
279,274351,102881,102881.625,102882,191E2
280,279075,104653,104653.125,104654,198CE
281,252370,94638,94638.75,94639,171AF
282,283821,106432,106432.875,106433,19FC1
283,279679,104879,104879.625,104880,199B0
284,280887,105332,105332.625,105333,19B75
285,291829,109435,109435.875,109436,1AB7C
286,335871,125951,125951.625,125952,1EC00
287,283337,106251,106251.375,106252,19F0C
288,290827,109060,109060.125,109061,1AA05
289,271237,101713,101713.875,101714,18D52
290,292226,109584,109584.75,109585,1AC11
291,277023,103883,103883.625,103884,195CC
292,279530,104823,104823.75,104824,19978
293,257714,96642,96642.75,96643,17983
294,287649,107868,107868.375,107869,1A55D
295,249805,93676,93676.875,93677,16DED
296,298386,111894,111894.75,111895,1B517
297,298469,111925,111925.875,111926,1B536
298,105111,39416,39416.625,39417,99F9
299,128817,48306,48306.375,48307,BCB3
300,307471,115301,115301.625,115302,1C266
301,316758,118784,118784.25,118785,1D001
302,296202,111075,111075.75,111076,1B1E4
303,312373,117139,117139.875,117140,1C994
304,314087,117782,117782.625,117783,1CC17
305,302350,113381,113381.25,113382,1BAE6
306,303648,113868,113868,113868,1BCCC
307,301051,112894,112894.125,112895,1B8FF
308,302797,113548,113548.875,113549,1BB8D
309,302915,113593,113593.125,113594,1BBBA
310,302752,113532,113532,113532,1BB7C
311,323461,121297,121297.875,121298,1D9D2
312,298839,112064,112064.625,112065,1B5C1
313,308092,115534,115534.5,115535,1C34F
314,299828,112435,112435.5,112436,1B734
315,308373,115639,115639.875,115640,1C3B8
316,299410,112278,112278.75,112279,1B697
317,302672,113502,113502,113502,1BB5E
318,313662,117623,117623.25,117624,1CB78
319,301783,113168,113168.625,113169,1BA11
320,327446,122792,122792.25,122793,1DFA9
321,300207,112577,112577.625,112578,1B7C2
322,301980,113242,113242.5,113243,1BA5B
323,300474,112677,112677.75,112678,1B826
324,298514,111942,111942.75,111943,1B547
325,314205,117826,117826.875,117827,1CC43
326,300994,112872,112872.75,112873,1B8E9
327,297308,111490,111490.5,111491,1B383
328,300809,112803,112803.375,112804,1B8A4
329,303760,113910,113910,113910,1BCF6
330,298705,112014,112014.375,112015,1B58F
331,343807,128927,128927.625,128928,1F7A0
332,301457,113046,113046.375,113047,1B997
333,207521,77820,77820.375,77821,12FFD
334,314661,117997,117997.875,117998,1CCEE
335,299970,112488,112488.75,112489,1B769
336,299275,112228,112228.125,112229,1B665
337,302855,113570,113570.625,113571,1BBA3
338,296497,111186,111186.375,111187,1B253
339,300739,112777,112777.125,112778,1B88A
340,291976,109491,109491,109491,1ABB3
341,289090,108408,108408.75,108409,1A779
342,300205,112576,112576.875,112577,1B7C1
343,300193,112572,112572.375,112573,1B7BD
344,310909,116590,116590.875,116591,1C76F
345,299249,112218,112218.375,112219,1B65B
346,299620,112357,112357.5,112358,1B6E6
347,294218,110331,110331.75,110332,1AEFC
348,311464,116799,116799,116799,1C83F
349,319551,119831,119831.625,119832,1D418
350,303411,113779,113779.125,113780,1BC74
351,302786,113544,113544.75,113545,1BB89
352,300557,112708,112708.875,112709,1B845
353,306135,114800,114800.625,114801,1C071
354,305018,114381,114381.75,114382,1BECE
355,299537,112326,112326.375,112327,1B6C7
356,327927,122972,122972.625,122973,1E05D
357,342068,128275,128275.5,128276,1F514
358,285272,106977,106977,106977,1A1E1
359,306267,114850,114850.125,114851,1C0A3
360,302357,113383,113383.875,113384,1BAE8
361,300710,112766,112766.25,112767,1B87F
362,313965,117736,117736.875,117737,1CBE9
363,303092,113659,113659.5,113660,1BBFC
364,304085,114031,114031.875,114032,1BD70
365,310364,116386,116386.5,116387,1C6A3
366,299786,112419,112419.75,112420,1B724
367,300732,112774,112774.5,112775,1B887
368,220623,82733,82733.625,82734,1432E
369,241429,90535,90535.875,90536,161A8
370,254808,95553,95553,95553,17541
371,256632,96237,96237,96237,177ED
372,259973,97489,97489.875,97490,17CD2
373,260550,97706,97706.25,97707,17DAB
374,261872,98202,98202,98202,17F9A
375,259464,97299,97299,97299,17C13
376,269823,101183,101183.625,101184,18B40
377,267518,100319,100319.25,100320,187E0
378,257224,96459,96459,96459,178CB
379,268667,100750,100750.125,100751,1898F
380,281993,105747,105747.375,105748,19D14
381,270332,101374,101374.5,101375,18BFF
382,307389,115270,115270.875,115271,1C247
383,262290,98358,98358.75,98359,18037
384,267547,100330,100330.125,100331,187EB
385,248414,93155,93155.25,93156,16BE4
386,260624,97734,97734,97734,17DC6
387,265236,99463,99463.5,99464,18488
388,260794,97797,97797.75,97798,17E06
389,270055,101270,101270.625,101271,18B97
390,260791,97796,97796.625,97797,17E05
391,276576,103716,103716,103716,19524
392,261383,98018,98018.625,98019,17EE3
393,244237,91588,91588.875,91589,165C5
394,266103,99788,99788.625,99789,185CD
395,264752,99282,99282,99282,183D2
396,307911,115466,115466.625,115467,1C30B
397,245803,92176,92176.125,92177,16811
398,223646,83867,83867.25,83868,1479C
399,253648,95118,95118,95118,1738E
400,261612,98104,98104.5,98105,17F39
401,267488,100308,100308,100308,187D4
402,299556,112333,112333.5,112334,1B6CE
403,272070,102026,102026.25,102027,18E8B
404,240197,90073,90073.875,90074,15FDA
405,264853,99319,99319.875,99320,183F8
406,260967,97862,97862.625,97863,17E47
